site,year,id,species,basal.area.cm2,x,y,notes
McGilvra Woods,2019,2383,Acer saccharum,100.8533043,59.1,69.2,
McGilvra Woods,2019,2001,Quercus rubra,3406.521367,0.4,98.7,
McGilvra Woods,2019,2002,Acer saccharum,742.5819504,0.5,84.8,
McGilvra Woods,2019,2003,Acer saccharum,602.3218821,3.7,96.7,
McGilvra Woods,2019,2004,Acer saccharum,446.4304111,6.4,98.5,
McGilvra Woods,2019,2005,Acer saccharum,557.4950966,7.3,97.3,
McGilvra Woods,2019,2006,Acer saccharum,716.6755045,5.6,94.8,
McGilvra Woods,2019,2007,Acer saccharum,637.4354415,3.9,92.9,
McGilvra Woods,2019,2008,Acer saccharum,393.2790264,5.8,91.1,
McGilvra Woods,2019,2009,Tilia americana,1310.585252,7,86.8,
McGilvra Woods,2019,2010,Fraxinus americana,1161.245394,0.6,82.3,
McGilvra Woods,2019,2011,Acer saccharum,46.21939125,1.2,81.6,
McGilvra Woods,2019,2012,Fraxinus americana,2303.313414,3.5,82.1,2 stems
McGilvra Woods,2019,2013,Acer saccharum,2000.215557,10,78.9,2 stems
McGilvra Woods,2019,2014,Prunus serotina,646.0107098,16.6,84.1,
McGilvra Woods,2019,2015,Carya cordiformis,279.8333829,20.3,80.7,
McGilvra Woods,2019,2016,Carya cordiformis,754.932374,18.9,79.5,
McGilvra Woods,2019,2017,Acer saccharum,165.4702112,19.8,79,
McGilvra Woods,2019,2018,Acer saccharum,219.3354059,16.3,74.7,
McGilvra Woods,2019,2019,Tilia americana,989.3270206,18.9,72.7,
McGilvra Woods,2019,2020,Acer saccharum,228.6228927,14.1,73.1,
McGilvra Woods,2019,2021,Acer saccharum,252.2359158,13.7,72.2,
McGilvra Woods,2019,2025,Tilia americana,2070.394134,6.9,74.1,3 stems
McGilvra Woods,2019,2026,Acer saccharum,157.583288,0.5,76,
McGilvra Woods,2019,2027,Tilia americana,2159.117444,1.5,72.7,3 stems
McGilvra Woods,2019,2028,Acer saccharum,42.83177828,0.1,70.4,
